SBID,CRVAL1,CRVAL2,label_0_count_filtered_int,label_1_count_filtered_int,label_2_count_filtered_int,label_3_count_filtered_int,label_0_count_filtered_res,label_1_count_filtered_res,label_2_count_filtered_res,label_3_count_filtered_res,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb,,name,sb,ra_min_hms,ra_max_hms,dec_min_dms,dec_max_dms,ra_min_deg,ra_max_deg,dec_min_deg,dec_max_deg,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb
20272,290.3225792,-64.90365556,240,3403,37,370,296,3188,33,384,processed_wcs_20272.csv,282,3305,40,420,,image.i.RACS_1921-64.SB20272.cont.taylor.0.restored.conv.fits,SB20272,43:28.9,00:06.5,-67:43:42.120,-61:45:19.203,280.8704511,300.0272709,-67.72836659,-61.7553343,processed_wcs_20272.csv,282,3305,40,420
20273,288,-60.32171389,266,3756,26,314,311,3625,35,273,processed_wcs_20273.csv,306,3741,42,341,,image.i.RACS_1912-60.SB20273.cont.taylor.0.restored.conv.fits,SB20273,40:17.0,44:38.2,-63:11:51.985,-57:12:34.067,280.0709851,296.1593309,-63.19777372,-57.20946303,processed_wcs_20273.csv,306,3741,42,341
20274,292.5,-55.72483611,279,3704,21,357,321,3580,32,325,processed_wcs_20274.csv,349,3619,60,372,,image.i.RACS_1930-55.SB20274.cont.taylor.0.restored.conv.fits,SB20274,02:32.6,58:15.9,-58:38:16.096,-52:38:28.386,285.6358372,299.5663301,-58.63780452,-52.64121836,processed_wcs_20274.csv,349,3619,60,372
20275,290.4545417,-51.11844333,406,3581,45,298,394,3499,54,300,processed_wcs_20275.csv,434,3545,77,325,,image.i.RACS_1921-51.SB20275.cont.taylor.0.restored.conv.fits,SB20275,57:32.2,46:51.3,-54:03:16.534,-48:03:49.774,284.3842806,296.7137761,-54.05459276,-48.06382623,processed_wcs_20275.csv,434,3545,77,325
20276,296.25,-46.50296111,334,3463,49,315,374,3316,48,271,processed_wcs_20276.csv,392,3356,76,333,,image.i.RACS_1944-46.SB20276.cont.taylor.0.restored.conv.fits,SB20276,23:00.8,07:36.5,-49:28:00.303,-43:27:28.324,290.7534581,301.902036,-49.46675088,-43.45786773,processed_wcs_20276.csv,392,3356,76,333
20277,301.1538458,-41.87891111,425,3416,45,273,449,3256,50,264,processed_wcs_20277.csv,489,3369,92,285,,image.i.RACS_2004-41.SB20277.cont.taylor.0.restored.conv.fits,SB20277,44:29.0,25:19.5,-44:51:48.636,-38:51:18.674,296.1208069,306.3311308,-44.86350988,-38.85518733,processed_wcs_20277.csv,489,3369,92,285
20279,308.0769208,41.87635833,54,112,915,130,162,89,408,153,processed_wcs_20279.csv,205,42,660,100,,image.i.RACS_2032+41.SB20279.cont.taylor.0.restored.conv.fits,SB20279,12:14.4,52:57.4,+38:41:29.484,+44:41:42.033,303.0601552,313.2390769,38.69152344,44.69500925,processed_wcs_20279.csv,205,42,660,100
20280,315,41.87635833,125,385,1216,162,371,219,485,184,processed_wcs_20280.csv,503,173,866,113,,image.i.RACS_2059+41.SB20280.cont.taylor.0.restored.conv.fits,SB20280,39:55.8,20:38.9,+38:41:27.484,+44:41:45.914,309.9823562,320.1622553,38.69096781,44.69608716,processed_wcs_20280.csv,503,173,866,113
20281,321.923075,41.87635833,186,501,1409,140,428,272,571,216,processed_wcs_20281.csv,615,267,1074,116,,image.i.RACS_2127+41.SB20281.cont.taylor.0.restored.conv.fits,SB20281,07:37.7,48:20.5,+38:41:19.483,+44:41:48.147,316.9069464,327.0853799,38.68874528,44.69670746,processed_wcs_20281.csv,615,267,1074,116
20285,349.6153833,41.87635833,126,407,1407,174,358,244,562,209,processed_wcs_20285.csv,446,211,1171,145,,image.i.RACS_2318+41.SB20285.cont.taylor.0.restored.conv.fits,SB20285,58:23.1,39:04.0,+38:41:23.019,+44:41:37.684,344.5963691,354.7664975,38.68972743,44.69380117,processed_wcs_20285.csv,446,211,1171,145
20286,356.5384583,41.87635833,145,457,1342,189,326,208,684,227,processed_wcs_20286.csv,400,247,1204,166,,image.i.RACS_2346+41.SB20286.cont.taylor.0.restored.conv.fits,SB20286,26:05.5,06:46.0,+38:41:18.689,+44:41:28.159,351.5228119,361.6916697,38.68852484,44.69115521,processed_wcs_20286.csv,400,247,1204,166
20287,3.4615375,41.87635833,154,458,1215,156,329,219,640,182,processed_wcs_20287.csv,364,268,1215,122,,image.i.RACS_0013+41.SB20287.cont.taylor.0.restored.conv.fits,SB20287,53:46.2,34:28.7,+38:41:06.030,+44:41:39.683,358.442475,368.6197358,38.68500826,44.69435639,processed_wcs_20287.csv,364,268,1215,122
20288,6.545454167,37.24593611,194,1888,653,299,562,1033,286,307,processed_wcs_20288.csv,614,1039,783,238,,image.i.RACS_0026+37.SB20288.cont.taylor.0.restored.conv.fits,SB20288,07:31.7,45:19.6,+34:04:23.954,+40:05:05.375,1.882189107,11.33152261,34.07332068,40.08482625,processed_wcs_20288.csv,614,1039,783,238
20289,17.30769167,41.87635833,151,324,1273,171,277,162,863,159,processed_wcs_20289.csv,265,241,1415,136,,image.i.RACS_0109+41.SB20289.cont.taylor.0.restored.conv.fits,SB20289,49:08.6,29:53.4,+38:41:21.154,+44:41:55.322,12.28589792,22.47254008,38.68920939,44.69870051,processed_wcs_20289.csv,265,241,1415,136
20290,19.6363625,37.24593611,321,1877,639,288,579,1214,314,270,processed_wcs_20290.csv,596,1135,901,234,,image.i.RACS_0118+37.SB20290.cont.taylor.0.restored.conv.fits,SB20290,59:54.0,37:40.6,+34:04:26.330,+40:04:43.573,14.97497007,24.41909422,34.07398052,40.0787704,processed_wcs_20290.csv,596,1135,901,234
