SBID,label_0_count,label_1_count,label_2_count,label_3_count
20528.csv,241,4483,55,578
20606.csv,408,3447,264,558
20694.csv,273,4420,47,639
20700.csv,468,4541,48,586
20777.csv,379,3803,89,556
20792.csv,272,4538,28,501
20919.csv,699,5189,143,502
21072.csv,797,3898,318,334
21097.csv,648,4666,107,516
21103.csv,654,4593,172,452
21174.csv,258,4414,52,600
21469.csv,490,4795,58,494
21641.csv,486,4983,57,715
21747.csv,660,4650,162,428
21929.csv,573,3997,193,410
22530.csv,490,5322,54,665
22669.csv,197,403,2270,288
22895.csv,267,467,2657,170
22901.csv,243,386,2812,198
25473.csv,313,215,2858,152
29354.csv,693,4627,142,429
29582.csv,734,4238,215,418
33117.csv,251,367,2832,193
20322.csv,727,4449,111,454
20355.csv,228,3915,223,554
20417.csv,672,4864,96,563
20460.csv,774,4211,186,427
20485.csv,401,1384,1907,360
20511.csv,370,4644,55,567
20583.csv,746,4630,93,474
20566.csv,532,4889,96,555
20648.csv,166,957,2315,348
20826.csv,245,4343,40,525
20851.csv,398,4591,60,525
20920.csv,725,4962,182,545
20957.csv,575,5087,121,523
21312.csv,384,4937,23,628
21380.csv,884,4074,267,405
21427.csv,665,4861,195,584
21450.csv,869,4160,279,365
21556.csv,857,4224,244,476
21678.csv,550,4454,89,440
21709.csv,762,4065,160,408
21816.csv,278,5148,62,686
21861.csv,620,4821,123,512
21884.csv,567,5670,108,650
21982.csv,811,4165,196,409
21967.csv,697,4977,144,434
21910.csv,660,4591,118,498
22063.csv,661,4499,124,487
22478.csv,268,4532,124,949
20172.csv,252,395,2657,182
20418.csv,585,4714,97,484
20569.csv,521,4293,89,452
20630.csv,349,4831,40,604
20647.csv,222,1726,1734,407
20736.csv,576,4767,116,563
20829.csv,399,4602,48,587
20958.csv,501,4833,84,540
21428.csv,737,4658,192,467
21559.csv,903,4913,227,465
21600.csv,591,4642,89,499
21677.csv,681,4298,132,502
21692.csv,354,4312,40,511
21706.csv,822,4051,169,371
21819.csv,294,4724,70,594
22335.csv,504,4707,85,580
21968.csv,651,4504,102,444
22342.csv,319,3782,270,599
22477.csv,218,4913,117,687
25445.csv,277,129,2601,127
33121.csv,867,4428,318,459
20212.csv,185,1725,1849,386
20265.csv,182,1855,2073,441
20280.csv,229,1503,1765,353
20314.csv,523,4365,85,533
20363.csv,648,4770,90,602
20386.csv,409,4020,220,668
20421.csv,592,4337,108,502
20456.csv,749,4657,230,429
20778.csv,575,3235,263,701
20810.csv,277,4445,37,584
20916.csv,727,4952,125,529
20961.csv,709,4752,143,531
21098.csv,517,4599,120,536
21411.csv,353,4520,61,612
21466.csv,746,4230,242,430
21483.csv,820,4501,251,433
21560.csv,710,4462,136,486
21639.csv,376,4629,39,584
21820.csv,279,5016,158,746
22153.csv,730,4195,212,464
22022.csv,372,5174,46,644
21748.csv,768,4662,164,458
21857.csv,640,5090,107,488
21926.csv,613,4315,179,495
21951.csv,687,4688,113,536
22055.csv,579,4793,104,544
22666.csv,188,663,2405,374
22683.csv,946,3854,319,380
25499.csv,312,155,2665,127
33330.csv,799,4419,266,423
33405.csv,392,5556,57,611
33591.csv,179,717,2318,302
20399.csv,424,5299,42,450
20449.csv,747,4511,172,472
20616.csv,297,3074,863,633
20661.csv,291,4498,51,628
20684.csv,507,3481,212,560
20710.csv,425,4660,50,644
20767.csv,585,4564,133,571
20782.csv,520,3646,316,583
20909.csv,701,5122,148,546
21062.csv,667,3759,236,385
21087.csv,342,5183,69,693
21181.csv,371,4706,86,611
21479.csv,717,4566,169,446
21508.csv,670,4767,184,531
21626.csv,304,4396,15,558
21651.csv,854,4009,206,371
21757.csv,715,4808,143,454
21848.csv,698,4543,139,430
21939.csv,335,5173,52,646
22451.csv,467,4935,95,678
22520.csv,468,5161,81,580
22679.csv,177,695,2343,332
22885.csv,208,461,2496,217
23827.csv,745,4538,144,441
23921.csv,767,4840,164,562
25486.csv,22,1,93,76
29344.csv,721,4302,186,486
29577.csv,867,4355,239,381
40926.csv,634,4228,103,472
41212.csv,726,4244,157,469
20332.csv,728,4357,132,504
20407.csv,624,4458,127,567
20470.csv,835,4090,291,341
20495.csv,254,4208,95,621
20501.csv,209,4158,67,549
20576.csv,555,4979,83,486
20593.csv,240,1503,1994,382
20658.csv,226,4071,195,671
20729.csv,279,4840,54,675
20836.csv,651,4384,182,412
20947.csv,315,5002,46,572
21375.csv,677,4771,171,506
21437.csv,705,3838,328,541
21440.csv,686,4312,165,370
21546.csv,947,3963,341,386
21668.csv,676,4506,102,480
21806.csv,818,4245,311,396
21900.csv,733,4607,150,393
21894.csv,510,5500,72,662
21871.csv,523,4781,90,508
22468.csv,198,4242,135,807
21992.csv,861,3642,290,367
21977.csv,761,3861,223,385
23869.csv,723,4535,203,410
25703.csv,242,409,2485,169
33423.csv,765,4068,310,361
20408.csv,627,4701,136,577
20579.csv,635,4983,115,483
20620.csv,365,3902,234,606
20657.csv,388,2729,908,502
20726.csv,241,4445,102,636
20751.csv,249,3842,45,462
