SBID,label_0_count,label_1_count,label_2_count,label_3_count
20535.csv,676,2262,380,607
20689.csv,449,3704,113,655
20802.csv,485,3643,137,355
20904.csv,614,4175,81,505
21403.csv,412,4060,55,512
21474.csv,631,3633,230,341
21491.csv,674,4202,176,362
21505.csv,658,4454,127,437
21597.csv,652,4433,91,490
21832.csv,590,4374,109,422
21845.csv,740,4346,135,476
22047.csv,523,4700,78,514
22674.csv,178,338,1905,491
23171.csv,574,3456,82,404
22030.csv,557,4464,107,457
37723.csv,312,4614,46,527
20288.csv,743,2054,523,640
20429.csv,551,4565,81,495
20558.csv,401,4782,75,603
20601.csv,395,4710,75,537
20676.csv,824,2113,522,630
20693.csv,284,3992,55,517
20707.csv,453,4470,81,606
20770.csv,366,4231,86,534
20795.csv,325,4420,44,576
20818.csv,291,3809,60,655
21075.csv,662,3453,255,326
21090.csv,636,4072,96,435
21104.csv,642,4023,167,536
21173.csv,284,4183,65,575
21419.csv,479,4194,146,444
21631.csv,293,4022,52,488
21740.csv,585,3663,118,388
21959.csv,638,4150,102,425
22877.csv,613,3977,114,421
24028.csv,454,3803,110,375
22971.csv,659,2937,109,299
25491.csv,212,177,2144,382
25474.csv,203,102,2038,472
20325.csv,698,4085,103,431
20410.csv,480,4269,121,451
20467.csv,573,4070,203,410
20482.csv,803,1810,576,553
20516.csv,585,4669,96,536
20561.csv,437,4803,57,561
20584.csv,759,4425,100,427
20638.csv,268,4107,41,570
20821.csv,284,3698,75,651
20856.csv,532,4067,79,507
21387.csv,750,4281,131,406
21420.csv,498,4135,141,430
21457.csv,469,4396,78,558
21551.csv,670,3939,199,435
21608.csv,601,3835,140,415
21811.csv,676,3989,182,372
21866.csv,497,4000,123,469
21883.csv,480,5068,110,646
21917.csv,611,4305,105,432
21960.csv,646,4596,111,517
22115.csv,340,4482,131,481
22064.csv,589,3963,98,420
21985.csv,632,3483,199,343
22839.csv,249,315,1791,474
41509.csv,683,4040,181,435
20175.csv,194,187,2316,554
20468.csv,593,3963,164,329
20637.csv,345,4142,42,628
20640.csv,351,896,1371,421
20731.csv,348,4385,65,587
20746.csv,294,3691,57,619
20859.csv,706,4166,184,430
21043.csv,679,3803,184,400
21145.csv,564,3847,137,366
21388.csv,710,4260,150,369
21458.csv,572,4033,98,391
21607.csv,552,3555,142,377
21670.csv,619,3932,117,435
21695.csv,342,3614,67,348
21701.csv,608,3398,166,298
21869.csv,443,3941,152,409
21918.csv,576,4597,124,497
22345.csv,330,4100,106,613
25442.csv,277,167,1582,609
23871.csv,610,3942,105,355
22332.csv,424,4688,54,551
22470.csv,384,4738,44,627
29427.csv,277,3907,62,493
29380.csv,633,3817,192,307
20262.csv,384,910,1009,636
20287.csv,461,1059,1197,516
20313.csv,508,3873,63,370
20364.csv,542,4290,81,499
20381.csv,217,3581,52,642
20426.csv,584,4670,100,457
20451.csv,645,4219,137,450
20520.csv,273,3842,61,562
20557.csv,360,4565,55,623
20679.csv,616,2993,172,615
20708.csv,364,4117,77,520
20817.csv,209,3734,71,703
20860.csv,644,3941,176,364
20911.csv,630,3988,107,402
20966.csv,618,4389,79,464
21199.csv,296,4671,50,637
21484.csv,564,4001,238,441
21510.csv,564,3166,131,334
21649.csv,676,3780,258,419
21738.csv,771,4274,135,415
21850.csv,644,4135,142,430
21921.csv,657,4803,101,456
22052.csv,508,4387,65,517
22449.csv,612,4521,112,519
22154.csv,438,3448,209,338
22684.csv,736,3299,315,311
22661.csv,200,413,1761,619
21956.csv,574,4409,111,436
22878.csv,555,4061,169,402
23181.csv,503,3238,156,326
22025.csv,407,4099,43,723
20603.csv,283,3984,37,604
20674.csv,254,4046,75,802
20691.csv,311,4260,73,588
20705.csv,497,4400,73,629
20772.csv,550,4438,119,497
20797.csv,507,4132,117,442
21077.csv,630,3657,225,344
21092.csv,680,4236,76,449
