FITS File,SBID,CRVAL1,CRVAL2
image.i.RACS_2119-23.SB20326.cont.taylor.0.restored.conv.fits,20326,320.0,-23.32096388889
image.i.RACS_2129-04.SB21379.cont.taylor.0.restored.conv.fits,21379,322.3880583333,-4.676341666667
image.i.RACS_2138-14.SB21378.cont.taylor.0.restored.conv.fits,21378,324.5454541667,-14.00890555556
image.i.RACS_2149+37.SB33090.cont.taylor.0.restored.conv.fits,33090,327.272725,37.24593611111
image.i.RACS_2151+00.SB21704.cont.taylor.0.restored.conv.fits,21704,327.7611916667,0.0
image.i.RACS_2151-09.SB20454.cont.taylor.0.restored.conv.fits,20454,327.7611916667,-9.34505
image.i.RACS_2155+41.SB20368.cont.taylor.0.restored.conv.fits,20368,328.84615,41.87635833333
image.i.RACS_2208+32.SB20620.cont.taylor.0.restored.conv.fits,20620,332.0689625,32.60906666667
image.i.RACS_2214+46.SB22896.cont.taylor.0.restored.conv.fits,22896,333.75,46.50041027778
image.i.RACS_2237-60.SB20954.cont.taylor.0.restored.conv.fits,20954,339.4285708333,-60.32171388889
image.i.RACS_2241-18.SB21707.cont.taylor.0.restored.conv.fits,21707,340.3125,-18.66772027778
image.i.RACS_2244+46.SB25497.cont.taylor.0.restored.conv.fits,25497,341.25,46.50041027778
image.i.RACS_2244-46.SB21814.cont.taylor.0.restored.conv.fits,21814,341.25,-46.50296111111
image.i.RACS_2251+23.SB20757.cont.taylor.0.restored.conv.fits,20757,342.8571416667,23.31840694444
image.i.RACS_2255+04.SB21038.cont.taylor.0.restored.conv.fits,21038,343.8805958333,4.673775
image.i.RACS_2314-23.SB20331.cont.taylor.0.restored.conv.fits,20331,348.571425,-23.32096388889
image.i.RACS_2322-32.SB20908.cont.taylor.0.restored.conv.fits,20908,350.6896541667,-32.61161944444
image.i.RACS_2326+18.SB20760.cont.taylor.0.restored.conv.fits,20760,351.5625,18.66515833333
image.i.RACS_2326+18.SB20762.cont.taylor.0.restored.conv.fits,20762,351.5625,18.66515833333
image.i.RACS_2343-51.SB20150.cont.taylor.0.restored.conv.fits,20150,355.9090875,-51.11844333333
image.i.RACS_2348+18.SB20761.cont.taylor.0.restored.conv.fits,20761,357.1875,18.66515833333
image.i.RACS_2348-18.SB21384.cont.taylor.0.restored.conv.fits,21384,357.1875,-18.66772027778
image.i.RACS_2349+14.SB20763.cont.taylor.0.restored.conv.fits,20763,357.272725,14.00634444444
image.i.RACS_2359+00.SB29579.cont.taylor.0.restored.conv.fits,29579,0.0,0.0
image.i.RACS_0313+04.SB29382.cont.taylor.0.restored.conv.fits,29382,48.35820833333,4.673775
image.i.RACS_0317-55.SB21822.cont.taylor.0.restored.conv.fits,21822,49.5,-55.72483611111
image.i.RACS_0327+14.SB20706.cont.taylor.0.restored.conv.fits,20706,51.81817916667,14.00634444444
image.i.RACS_0348-23.SB20431.cont.taylor.0.restored.conv.fits,20431,57.14285416667,-23.32096388889
image.i.RACS_0349+14.SB20707.cont.taylor.0.restored.conv.fits,20707,57.272725,14.00634444444
image.i.RACS_0355+37.SB20296.cont.taylor.0.restored.conv.fits,20296,58.9090875,37.24593611111
image.i.RACS_0412-28.SB20573.cont.taylor.0.restored.conv.fits,20573,63.0,-27.9695
image.i.RACS_0014-46.SB20958.cont.taylor.0.restored.conv.fits,20958,3.75,-46.50296111111
image.i.RACS_0021+04.SB20837.cont.taylor.0.restored.conv.fits,20837,5.373133333333,4.673775
image.i.RACS_0022-23.SB20334.cont.taylor.0.restored.conv.fits,20334,5.714283333333,-23.32096388889
image.i.RACS_0033-18.SB21452.cont.taylor.0.restored.conv.fits,21452,8.4375,-18.66772027778
image.i.RACS_0041+41.SB33588.cont.taylor.0.restored.conv.fits,33588,10.3846125,41.87635833333
image.i.RACS_0042+04.SB29582.cont.taylor.0.restored.conv.fits,29582,10.74626666667,4.673775
image.i.RACS_0046-64.SB21200.cont.taylor.0.restored.conv.fits,21200,11.6129,-64.90365555556
image.i.RACS_0054+14.SB20699.cont.taylor.0.restored.conv.fits,20699,13.6363625,14.00634444444
image.i.RACS_0100+28.SB20494.cont.taylor.0.restored.conv.fits,20494,15.0,27.96694555556
image.i.RACS_0109+41.SB20289.cont.taylor.0.restored.conv.fits,20289,17.30769166667,41.87635833333
image.i.RACS_0125+04.SB29583.cont.taylor.0.restored.conv.fits,29583,21.49253333333,4.673775
image.i.RACS_0126-32.SB21103.cont.taylor.0.restored.conv.fits,21103,21.7241375,-32.61161944444
image.i.RACS_0131-23.SB20423.cont.taylor.0.restored.conv.fits,20423,22.85714166667,-23.32096388889
image.i.RACS_0138+14.SB20701.cont.taylor.0.restored.conv.fits,20701,24.54545416667,14.00634444444
image.i.RACS_0144-37.SB20963.cont.taylor.0.restored.conv.fits,20963,26.18181666667,-37.24848888889
image.i.RACS_0147-04.SB20466.cont.taylor.0.restored.conv.fits,20466,26.86567083333,-4.676341666667
image.i.RACS_0200+14.SB20702.cont.taylor.0.restored.conv.fits,20702,30.0,14.00634444444
image.i.RACS_0208+09.SB21045.cont.taylor.0.restored.conv.fits,21045,32.23880416667,9.342486111111
image.i.RACS_0204-41.SB20566.cont.taylor.0.restored.conv.fits,20566,31.15384583333,-41.87891111111
image.i.RACS_0208-09.SB21048.cont.taylor.0.restored.conv.fits,21048,32.23880416667,-9.34505
image.i.RACS_0212+28.SB20382.cont.taylor.0.restored.conv.fits,20382,33.0,27.96694555556
image.i.RACS_0216-32.SB20916.cont.taylor.0.restored.conv.fits,20916,34.13792916667,-32.61161944444
image.i.RACS_0217-23.SB20425.cont.taylor.0.restored.conv.fits,20425,34.2857125,-23.32096388889
image.i.RACS_0226+18.SB20632.cont.taylor.0.restored.conv.fits,20632,36.5625,18.66515833333
image.i.RACS_0236+28.SB20383.cont.taylor.0.restored.conv.fits,20383,39.0,27.96694555556
image.i.RACS_0232-41.SB20965.cont.taylor.0.restored.conv.fits,20965,38.07692083333,-41.87891111111
image.i.RACS_0248+18.SB20633.cont.taylor.0.restored.conv.fits,20633,42.1875,18.66515833333
image.i.RACS_0251-09.SB21050.cont.taylor.0.restored.conv.fits,21050,42.98507083333,-9.34505
image.i.RACS_0311+18.SB20634.cont.taylor.0.restored.conv.fits,20634,47.8125,18.66515833333
image.i.RACS_0441-18.SB21949.cont.taylor.0.restored.conv.fits,21949,70.3125,-18.66772027778
image.i.RACS_0444+46.SB25451.cont.taylor.0.restored.conv.fits,25451,71.25,46.50041027778
image.i.RACS_0444-46.SB21897.cont.taylor.0.restored.conv.fits,21897,71.25,-46.50296111111
image.i.RACS_0448-37.SB21951.cont.taylor.0.restored.conv.fits,21951,72.0,-37.24848888889
image.i.RACS_0450+41.SB20263.cont.taylor.0.restored.conv.fits,20263,72.69230416667,41.87635833333
image.i.RACS_0454+14.SB21397.cont.taylor.0.restored.conv.fits,21397,73.6363625,14.00634444444
image.i.RACS_0506-55.SB22323.cont.taylor.0.restored.conv.fits,22323,76.5,-55.72483611111
image.i.RACS_0510-79.SB22026.cont.taylor.0.restored.conv.fits,22026,77.7069625,-78.95283888889
image.i.RACS_0514+46.SB22659.cont.taylor.0.restored.conv.fits,22659,78.75,46.50041027778
image.i.RACS_0518+41.SB20301.cont.taylor.0.restored.conv.fits,20301,79.61538333333,41.87635833333
image.i.RACS_0522-09.SB21655.cont.taylor.0.restored.conv.fits,21655,80.5970125,-9.34505
image.i.RACS_0529-60.SB22450.cont.taylor.0.restored.conv.fits,22450,82.2857125,-60.32171388889
image.i.RACS_0535-32.SB21902.cont.taylor.0.restored.conv.fits,21902,83.7931,-32.61161944444
image.i.RACS_0541-55.SB22449.cont.taylor.0.restored.conv.fits,22449,85.5,-55.72483611111
image.i.RACS_0600+14.SB21470.cont.taylor.0.restored.conv.fits,21470,90.0,14.00634444444
image.i.RACS_0605+23.SB21171.cont.taylor.0.restored.conv.fits,21171,91.42857083333,23.31840694444
image.i.RACS_0606+37.SB20645.cont.taylor.0.restored.conv.fits,20645,91.6363625,37.24593611111
image.i.RACS_0612-28.SB20578.cont.taylor.0.restored.conv.fits,20578,93.0,-27.9695
image.i.RACS_0626+04.SB21543.cont.taylor.0.restored.conv.fits,21543,96.71641666667,4.673775
image.i.RACS_0626-09.SB21606.cont.taylor.0.restored.conv.fits,21606,96.71641666667,-9.34505
image.i.RACS_0648-09.SB21607.cont.taylor.0.restored.conv.fits,21607,102.08955,-9.34505
image.i.RACS_0633-18.SB21740.cont.taylor.0.restored.conv.fits,21740,98.4375,-18.66772027778
image.i.RACS_0649-32.SB21905.cont.taylor.0.restored.conv.fits,21905,102.4137916667,-32.61161944444
image.i.RACS_0651+23.SB21174.cont.taylor.0.restored.conv.fits,21174,102.8571416667,23.31840694444
image.i.RACS_0651-60.SB22454.cont.taylor.0.restored.conv.fits,22454,102.8571416667,-60.32171388889
image.i.RACS_0655-69.SB22521.cont.taylor.0.restored.conv.fits,22521,103.84615,-69.47467222222
image.i.RACS_0653-55.SB22034.cont.taylor.0.restored.conv.fits,22034,103.5,-55.72483611111
image.i.RACS_0656-18.SB21835.cont.taylor.0.restored.conv.fits,21835,104.0625,-18.66772027778
image.i.RACS_0658-37.SB21958.cont.taylor.0.restored.conv.fits,21958,104.7272708333,-37.24848888889
image.i.RACS_0714-23.SB20581.cont.taylor.0.restored.conv.fits,20581,108.571425,-23.32096388889
image.i.RACS_0714+46.SB25461.cont.taylor.0.restored.conv.fits,25461,108.75,46.50041027778
image.i.RACS_0718+18.SB21293.cont.taylor.0.restored.conv.fits,21293,109.6875,18.66515833333
image.i.RACS_0721-51.SB22329.cont.taylor.0.restored.conv.fits,22329,110.4545416667,-51.11844333333
image.i.RACS_0724+28.SB20840.cont.taylor.0.restored.conv.fits,20840,111.0,27.96694555556
image.i.RACS_0727+14.SB21294.cont.taylor.0.restored.conv.fits,21294,111.8181791667,14.00634444444
image.i.RACS_0731-09.SB21548.cont.taylor.0.restored.conv.fits,21548,112.8358208333,-9.34505
