File Name,Subdirectory,Proportion
crossmatch-result-21873.txt,"21873,",93.06
crossmatch-result-22885.txt,"22885,",85.38
crossmatch-result-22635.txt,"22635,",91.95
crossmatch-result-20407.txt,"20407,",95.76
crossmatch-result-21085.txt,"21085,",95.51
crossmatch-result-20684.txt,"20684,",90.39
crossmatch-result-20834.txt,"20834,",96.58
crossmatch-result-20909.txt,"20909,",94.34
crossmatch-result-20503.txt,"20503,",94.37
crossmatch-result-20495.txt,"20495,",92.14
crossmatch-result-21054.txt,"21054,",94.76
crossmatch-result-20971.txt,"20971,",94.29
crossmatch-result-22451.txt,"22451,",93.09
crossmatch-result-21546.txt,"21546,",94.25
crossmatch-result-21845.txt,"21845,",95.62
crossmatch-result-21848.txt,"21848,",94.68
crossmatch-result-22048.txt,"22048,",95.83
crossmatch-result-22465.txt,"22465,",94.03
crossmatch-result-20304.txt,"20304,",86.73
crossmatch-result-33363.txt,"33363,",96.33
crossmatch-result-29344.txt,"29344,",94.61
crossmatch-result-22480.txt,"22480,",92.38
crossmatch-result-22482.txt,"22482,",81.59
crossmatch-result-20399.txt,"20399,",94.61
crossmatch-result-21624.txt,"21624,",95.95
crossmatch-result-20444.txt,"20444,",95.35
crossmatch-result-20446.txt,"20446,",92.92
crossmatch-result-21375.txt,"21375,",94.33
crossmatch-result-22821.txt,"22821,",85.65
crossmatch-result-21939.txt,"21939,",96.46
crossmatch-result-29575.txt,"29575,",95.66
crossmatch-result-21456.txt,"21456,",95.23
crossmatch-result-29584.txt,"29584,",95.52
crossmatch-result-20258.txt,"20258,",83.72
crossmatch-result-20469.txt,"20469,",93.5
crossmatch-result-21647.txt,"21647,",90.27
crossmatch-result-21984.txt,"21984,",92.5
crossmatch-result-22029.txt,"22029,",95.36
crossmatch-result-21609.txt,"21609,",94.29
crossmatch-result-21741.txt,"21741,",93.99
crossmatch-result-22114.txt,"22114,",92.58
crossmatch-result-20858.txt,"20858,",94.83
crossmatch-result-25872.txt,"25872,",89.68
crossmatch-result-21384.txt,"21384,",92.78
crossmatch-result-21038.txt,"21038,",93.99
crossmatch-result-20326.txt,"20326,",93.22
crossmatch-result-20677.txt,"20677,",88.95
crossmatch-result-20312.txt,"20312,",96.29
crossmatch-result-22026.txt,"22026,",94.53
crossmatch-result-20368.txt,"20368,",86.15
crossmatch-result-20263.txt,"20263,",83.32
crossmatch-result-20965.txt,"20965,",95.39
crossmatch-result-20706.txt,"20706,",94.6
crossmatch-result-20382.txt,"20382,",92.5
crossmatch-result-20425.txt,"20425,",94.88
crossmatch-result-20466.txt,"20466,",93.43
crossmatch-result-20289.txt,"20289,",83.64
crossmatch-result-22659.txt,"22659,",84.64
crossmatch-result-20634.txt,"20634,",94.27
crossmatch-result-21606.txt,"21606,",94.66
crossmatch-result-21958.txt,"21958,",94.68
crossmatch-result-21552.txt,"21552,",94.84
crossmatch-result-21961.txt,"21961,",92.87
crossmatch-result-21074.txt,"21074,",93.06
crossmatch-result-22344.txt,"22344,",92.67
crossmatch-result-41507.txt,"41507,",94.27
crossmatch-result-23182.txt,"23182,",93.52
crossmatch-result-21867.txt,"21867,",95.38
crossmatch-result-21865.txt,"21865,",93.85
crossmatch-result-21694.txt,"21694,",88.55
crossmatch-result-20367.txt,"20367,",90.94
crossmatch-result-20324.txt,"20324,",92.47
crossmatch-result-20413.txt,"20413,",94.26
crossmatch-result-20329.txt,"20329,",94.78
crossmatch-result-20967.txt,"20967,",94.41
crossmatch-result-22654.txt,"22654,",84.72
crossmatch-result-20587.txt,"20587,",94.26
crossmatch-result-22615.txt,"22615,",85.84
crossmatch-result-23870.txt,"23870,",93.63
crossmatch-result-21989.txt,"21989,",91.31
crossmatch-result-20747.txt,"20747,",91.87
crossmatch-result-21810.txt,"21810,",91.96
crossmatch-result-20559.txt,"20559,",94.84
crossmatch-result-20380.txt,"20380,",89.88
crossmatch-result-20427.txt,"20427,",94.2
crossmatch-result-20428.txt,"20428,",94.5
crossmatch-result-20709.txt,"20709,",94.88
crossmatch-result-20643.txt,"20643,",87.55
crossmatch-result-21550.txt,"21550,",94.16
crossmatch-result-20588.txt,"20588,",94.56
crossmatch-result-21487.txt,"21487,",93.38
crossmatch-result-21671.txt,"21671,",93.53
crossmatch-result-22116.txt,"22116,",91.13
crossmatch-result-21920.txt,"21920,",94.96
crossmatch-result-20732.txt,"20732,",94.06
crossmatch-result-21853.txt,"21853,",95.1
crossmatch-result-20799.txt,"20799,",94.86
crossmatch-result-25478.txt,"25478,",87.15
crossmatch-result-22874.txt,"22874,",94.12
crossmatch-result-25870.txt,"25870,",86.12
crossmatch-result-22473.txt,"22473,",92.39
crossmatch-result-22685.txt,"22685,",94.22
crossmatch-result-21986.txt,"21986,",92.01
crossmatch-result-20310.txt,"20310,",89.1
crossmatch-result-22065.txt,"22065,",95.38
crossmatch-result-20483.txt,"20483,",87.41
crossmatch-result-22155.txt,"22155,",91.07
crossmatch-result-21630.txt,"21630,",96.17
crossmatch-result-21696.txt,"21696,",93.55
crossmatch-result-20365.txt,"20365,",95.13
crossmatch-result-21091.txt,"21091,",94.99
crossmatch-result-21144.txt,"21144,",95.07
crossmatch-result-21093.txt,"21093,",94.48
crossmatch-result-21105.txt,"21105,",93.73
crossmatch-result-20704.txt,"20704,",96.05
crossmatch-result-21108.txt,"21108,",93.83
crossmatch-result-21824.txt,"21824,",92.73
crossmatch-result-20523.txt,"20523,",93.48
crossmatch-result-22445.txt,"22445,",91.55
crossmatch-result-22024.txt,"22024,",96.25
crossmatch-result-20773.txt,"20773,",95.36
crossmatch-result-21648.txt,"21648,",91.81
crossmatch-result-21739.txt,"21739,",93.97
crossmatch-result-21957.txt,"21957,",95.5
crossmatch-result-22331.txt,"22331,",96.1
crossmatch-result-21743.txt,"21743,",94.17
crossmatch-result-21963.txt,"21963,",91.62
crossmatch-result-21418.txt,"21418,",94.27
crossmatch-result-22051.txt,"22051,",95.07
