Subdirectory,Proportion_interniamge,Proportion_resnet
22055,98.17,95.89
22056,97.66,95.35
22057,97.9,94.45
22058,98.76,95.37
22059,97.64,93.94
22060,98.05,94.45
22061,98.11,94.79
22062,98.32,94.84
22063,98.39,95.05
22064,98.49,95.46
22065,98.49,95.38
22066,98.13,94.72
22068,98.25,94.51
22114,98.09,92.58
22115,97.89,93.71
22116,97.64,91.13
22117,98.57,95.17
22119,97.16,90.94
22145,98.03,94.39
22148,98.47,96.51
22149,98.3,94.23
22150,97.78,94.43
22151,97.28,93.14
22152,98.25,94.28
22153,98.4,93.93
22154,97,93.07
22155,97.4,91.07
22178,96.08,90.91
22322,97.58,95.23
22323,98.42,96.5
22324,98.02,94.8
22325,98.36,95.98
22326,98.1,95.11
22327,98.11,95.25
